Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17899948,Rebecca,Daphne du Maurier,"Maurier, Daphne du",,"=""0316323705""","=""9780316323703""",5,4.25,"Little, Brown and Company",Kindle Edition,449,2013,1938,,2020/06/20,,,read,,,,1,0
34606688,Tales of Norse Mythology,Hélène A. Guerber,"Guerber, Hélène A.",,"=""1435164989""","=""9781435164987""",0,3.91,Barnes & Noble,Leather Bound,464,2017,1895,,2025/07/03,to-read,to-read (#320),to-read,,,,0,0
31196,The Razor’s Edge,W. Somerset Maugham,"Maugham, W. Somerset",,"=""1400034205""","=""9781400034208""",5,4.19,Vintage International,Paperback,314,2003,1944,,2025/07/03,,,read,,,,1,0
7745,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,"=""0679785892""","=""9780679785897""",0,4.07,Vintage Books,Paperback,204,1998,1971,,2025/06/28,to-read,to-read (#319),to-read,,,,0,0
113441,The Day of the Locust,Nathanael West,"West, Nathanael",,"=""0451523482""","=""9780451523488""",0,3.70,Signet Classic,Mass Market Paperback,208,1983,1939,,2025/06/28,to-read,to-read (#318),to-read,,,,0,0
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",5,3.96,"Little, Brown",Hardcover,771,2013,2013,,2020/06/18,,,read,,,,1,0
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,"=""0140042598""","=""9780140042597""",0,3.61,Penguin Books,Paperback,307,1976,1957,,2025/06/23,to-read,to-read (#317),to-read,,,,0,0
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Norman MacAfee, Charles E. Wilbour, Lee Fahnestock, Isabel Florence Hapgood","=""0451525264""","=""9780451525260""",3,4.21,Penguin,Mass Market Paperback,1463,1987,1862,,2020/06/18,,,read,,,,1,0
231560,Uncle Vanya,Anton Chekhov,"Chekhov, Anton",,"=""1406507881""","=""9781406507881""",5,3.86,Dodo Pr,Paperback,116,2006,1897,,2025/06/01,,,read,,,,1,0
17250,The Crucible,Arthur Miller,"Miller, Arthur",Christopher W.E. Bigsby,"=""0142437336""","=""9780142437339""",5,3.61,Penguin Books,Paperback,143,2003,1953,,2022/10/02,,,read,,,,1,0
761764,"The Anarchy of the Imagination: Interviews, Essays, Notes (PAJ Books)",Rainer Werner Fassbinder,"Fassbinder, Rainer Werner",,"=""0801843693""","=""9780801843693""",0,4.28,Johns Hopkins University Press,Paperback,280,1992,1984,,2025/05/21,to-read,to-read (#316),to-read,,,,0,0
32187419,Conversations with Friends,Sally Rooney,"Rooney, Sally",,"=""0451499077""","=""9780451499073""",0,3.74,Hogarth,Kindle Edition,304,2017,2017,,2025/05/21,to-read,to-read (#315),to-read,,,,0,0
29358559,Upstream: Selected Essays,Mary Oliver,"Oliver, Mary",,"=""1594206708""","=""9781594206702""",0,4.16,Penguin Press,Hardcover,178,2016,2016,,2025/05/21,to-read,to-read (#314),to-read,,,,0,0
88564033,A Leopard-Skin Hat,Anne Serre,"Serre, Anne",Mark Hutchinson,"=""0811234517""","=""9780811234511""",0,3.51,New Directions,Paperback,122,2023,2008,,2025/05/20,to-read,to-read (#313),to-read,,,,0,0
95693,The Blue Castle,L.M. Montgomery,"Montgomery, L.M.",,"=""0553280511""","=""9780553280517""",5,4.31,Bantam Books,Mass Market Paperback,218,1989,1926,,2025/05/18,,,read,,,,1,0
